"Воздушная масса: Заданное значение[kg/h]","Давление заряда воздуха, фактическое[mbar]","Давление магистрали, уставка[бар]","Действительное давление в рейке[bar]","Клапан регулировки давления в рейке , активация[%]","Масса воздуха[кг/ч]","Подача активации управляющего клапана [%]","Регулятор нагнетаемого давления , активация[%]","Скорость вращения двигателя[об/мин]","Температура воздуха на впуске[degree C]","Температура двигателя[degree C]","Температура охлаждающей жидкости[degree C]","Температура топлива[degree C]"
"54.86","985.95","315.01","315.88","33.65","62.33","42.08","94.98","","","","",""
"54.86","985.95","315.01","315.88","33.65","62.33","42.08","94.98","721","","","",""
"54.86","985.95","315.01","315.88","33.65","62.33","42.08","94.98","721","56.36","","",""
"54.86","985.95","315.01","315.88","33.65","62.33","42.08","94.98","721","56.36","90.70","",""
"54.86","985.95","315.01","315.88","33.65","62.33","42.08","94.98","721","56.36","90.70","90",""
"54.86","985.95","315.01","315.88","33.65","62.33","42.08","94.98","721","56.36","90.70","90","53.64"
"55.47","985.95","315.01","318.06","33.65","62.26","42.03","94.98","719","56.55","90.70","90","53.64"
"55.47","985.95","315.01","318.06","33.71","62.26","41.81","94.98","722","56.55","90.70","90","53.64"
"55.92","985.95","315.01","315.88","33.58","62.18","42.40","94.98","718","56.65","90.70","90","53.64"
"55.08","985.95","315.01","313.68","33.63","62.26","42.19","94.98","720","56.65","90.70","90","53.64"
"55.47","985.95","315.01","313.68","33.63","62.33","42.09","94.98","717","56.65","90.70","90","53.64"
"55.24","985.95","315.01","318.06","33.68","62.26","41.85","94.98","721","56.65","90.70","90","53.64"
"55.54","985.95","315.01","313.68","33.63","62.33","41.88","94.98","720","56.85","90.70","90","53.64"
"55.54","985.95","315.01","313.68","33.64","62.18","42.09","94.98","718","56.85","90.80","90","53.64"
"54.86","985.95","315.01","315.88","33.65","62.26","41.99","94.98","723","56.85","90.80","90","53.64"
"55.7","985.95","315.01","313.68","33.65","62.03","42.24","94.98","718","56.85","90.90","90","53.64"
"55.54","985.95","315.01","313.68","33.70","62.18","41.98","94.98","721","56.85","90.90","90","53.64"
"55.24","985.95","315.01","315.88","33.70","62.33","41.97","94.98","719","56.94","90.90","90","53.64"
"55.24","985.95","315.01","313.68","33.66","62.18","42.02","94.98","721","57.04","90.90","90","53.64"
"56.23","985.95","315.01","318.06","33.67","62.26","42.12","94.98","718","57.04","90.90","90","53.64"
"55.92","985.95","315.01","311.48","33.78","62.18","42.14","94.98","718","57.04","90.90","90","53.64"
"55.77","985.95","315.01","318.06","33.63","62.18","42.07","94.98","721","57.04","90.90","90","53.64"
"55.7","985.95","315.01","315.88","33.72","62.18","42.26","94.98","721","57.14","90.90","90","53.64"
"55.85","985.95","315.01","313.68","33.68","62.18","42.16","94.98","721","57.34","90.90","90","53.64"
"55.7","985.95","315.01","318.06","33.68","62.18","41.94","94.98","720","57.34","90.90","90","53.64"
"55.92","985.95","315.01","313.68","33.64","62.03","42.21","94.98","721","57.34","90.90","90","53.64"
"54.93","985.95","315.01","315.88","33.69","62.49","42.14","94.98","721","57.34","90.90","90","53.64"
"54.93","985.95","315.01","315.88","33.69","62.03","42.01","94.98","718","57.43","90.90","91","53.64"
"56.08","985.95","315.01","315.88","33.69","62.26","42.19","94.98","721","57.43","91","91","53.64"
"55.77","985.95","315.01","313.68","33.69","62.26","42.05","94.98","721","57.53","91","91","53.64"
"55.77","985.95","315.01","313.68","33.70","62.03","42.03","94.98","720","57.53","91.10","91","53.64"
"54.93","985.95","315.01","318.06","33.60","62.03","42.05","94.98","717","57.53","91.10","91","53.64"
"54.86","985.95","315.01","318.06","33.85","62.03","42.39","94.98","715","57.53","91.10","91","53.64"
"54.63","985.95","315.01","313.68","33.75","59.59","42.16","94.98","671","57.63","91.10","91","53.64"
"53.33","987.96","315.01","315.88","33.75","60.65","41.84","94.98","720","57.73","91.10","91","53.64"
"54.47","989.97","315.01","313.68","33.76","60.65","41.85","94.98","718","57.73","91.10","91","53.64"
"54.25","992.99","315.01","313.68","33.72","60.96","41.88","94.98","719","57.73","91.10","91","53.64"
"53.79","992.99","315.01","315.88","33.72","60.73","41.95","94.98","721","57.83","91.20","91","53.64"
"54.17","992.99","315.01","318.06","33.73","61.26","42.05","94.98","718","57.83","91.20","91","53.64"
"53.64","994.92","315.01","309.28","33.82","60.96","41.98","94.98","723","57.83","91.30","91","53.64"
"53.86","994.92","315.01","313.68","33.87","61.34","41.73","94.98","716","58.02","91.30","91","53.64"
"80.57","981.92","474.49","463.27","37.93","108.19","38.98","93.38","1525","58.12","91.30","91","53.64"
"66.38","1077.96","315.01","329.09","33.95","70.19","42.21","94.98","745","58.32","91.30","91","53.64"
"55.54","1026.96","315.01","318.06","33.72","62.94","42.09","94.98","720","58.22","91.30","91","53.64"
"53.94","1007.92","315.01","313.68","33.87","59.97","41.66","94.98","710","58.22","91.30","91","53.64"
"54.09","998.95","315.01","313.68","33.82","60.65","41.96","94.98","714","58.32","91.40","91","53.64"
"54.17","998.95","315.01","309.28","33.72","59.97","41.96","94.98","723","58.32","91.40","91","53.64"
"54.47","996.93","315.01","315.88","33.74","61.19","42","94.98","723","58.32","91.50","91","53.64"
"53.94","994.92","315.01","315.88","33.74","60.27","42.16","94.98","716","58.32","91.50","91","53.64"
"53.94","994.92","315.01","315.88","33.74","60.35","41.96","94.98","716","58.41","91.60","91","53.64"
"54.78","994.92","315.01","309.28","33.83","60.88","41.98","94.98","720","58.41","91.70","91","53.64"
"54.25","994.92","315.01","313.68","33.63","61.19","41.63","94.98","721","58.41","91.70","91","53.64"
"80.19","994.92","349.39","375.28","33.92","91.63","42.19","94.98","966","58.51","91.70","91","53.64"
"56.23","1024.95","315.01","320.4","33.97","63.94","41.89","94.98","732","58.61","91.70","91","53.64"
"54.17","1007.92","315.01","318.06","33.79","62.33","42.21","94.98","728","58.61","91.80","91","53.64"
"55.92","996.93","315.01","313.68","33.70","61.26","41.81","94.98","701","58.61","91.90","91","53.64"
"92.85","1000.96","508.68","509.37","38.29","119.48","39.60","94.98","1539","58.61","91.90","91","53.64"
"142.75","1182.97","549.80","555.69","39.95","168.08","36.88","94.98","1743","59.15","91.90","91","53.64"
"185.63","1344.93","693.15","705.29","42.24","229.95","38.24","94.98","2096","59.64","92","92","53.64"
"237.89","1438.95","846.37","854.77","42.66","297.63","40.02","74.92","2434","59.94","92","92","53.64"
"174.49","1505.97","714.10","608.4","42.16","197.45","38.90","94.98","1644","60.33","92.10","92","53.64"
"189.75","1522.91","748.61","749.21","42.54","223.47","38.47","94.98","1867","60.33","92.20","92","53.73"
"217.97","1554.95","786.35","782.16","43.51","265.05","38.27","94.98","2123","60.62","92.30","92","53.73"
"246.59","1573.9","844.58","843.76","44.75","307.55","37.82","94.98","2366","60.72","92.40","92","53.83"
"266.57","1597.98","686.67","718.38","39.22","337.68","42.89","48.73","2240","61.01","92.50","92","53.83"
"206.76","1571.98","797.06","826.19","43.00","233.46","39.69","94.98","1825","61.21","92.80","93","53.83"
"209.96","1620.96","812.09","810.76","43.64","246.74","38.56","94.98","1908","61.21","93","93","53.83"
"220.95","1626.91","813.19","812.96","43.97","266.27","38.20","94.98","2002","61.36","93.30","93","53.83"
"233.69","1633.96","814.06","843.76","43.98","282.37","36.12","94.98","2157","61.36","93.50","93","53.93"
"247.96","1641.93","848.48","841.58","44.67","302.13","38.11","94.98","2225","61.36","93.70","93","53.93"
"260.17","1646.96","839.19","854.77","43.83","310.83","38.57","23.00","2322","61.36","93.90","94","54.03"
"211.95","1254.93","359.09","373.1","27.38","237.89","41.41","23.00","2322","61.01","94","94","54.03"
"169.3","1041.98","349.89","326.92","34.27","176.93","41.57","23.00","1925","60.62","94.10","94","53.93"
"118.56","1000.96","331.16","324.71","33.86","131.69","41.55","23.00","1565","60.52","94.20","94","53.93"
"111.39","962.96","325.17","329.09","34.03","124.74","42.15","23.00","1572","60.33","94.30","94","53.73"
"104.83","951.98","321.09","329.09","33.88","116.35","41.90","23.00","1492","60.23","94.30","94","53.64"
"95.14","947.95","314.88","322.46","33.81","106.28","42.25","23.00","1390","60.03","94.30","94","53.64"
"86.59","951.98","306.75","291.71","33.69","93.54","41.59","23.00","1230","60.03","94.30","94","53.54"
"76.83","955.92","302.19","302.7","33.68","85.30","41.94","23.00","1068","59.84","94.20","94","53.44"
"70.95","960.95","299.99","296.09","33.58","76.75","42.04","23.00","896","59.64","94.10","93","53.44"
"70.65","947.95","301","298.29","33.55","81.56","42.05","23.00","1011","59.45","94","93","53.44"
"67.44","951.98","299.99","302.7","33.52","75.23","41.85","23.00","895","59.25","93.90","93","53.44"
"53.79","960.95","299.99","311.48","33.51","61.34","42.19","23.00","738","59.05","93.80","93","53.44"
"51.73","957.93","299.99","298.29","33.60","60.04","41.97","23.00","720","58.96","93.70","93","53.54"
"51.27","955.92","301.09","296.09","33.76","57.68","41.73","23.00","689","58.61","93.60","93","53.64"
"50.13","955.92","312.08","318.06","33.76","58.44","42.06","23.00","720","58.41","93.50","93","53.64"
"50.97","955.92","312.99","315.88","33.85","59.43","42.19","23.00","724","58.41","93.50","93","53.73"
"51.27","955.92","312.99","311.48","33.86","58.98","41.99","23.00","715","58.22","93.40","93","53.83"
"50.74","955.92","313.91","309.28","33.90","58.75","41.80","23.00","719","58.22","93.30","93","53.83"
"50.43","955.92","314.00","311.48","33.90","59.05","41.89","23.00","719","58.12","93.30","93","53.83"
"50.58","955.92","313.27","313.68","33.83","58.75","41.84","23.00","719","58.12","93.30","93","53.93"
"50.74","955.92","314.42","315.88","33.89","58.59","41.76","23.00","719","58.12","93.30","93","53.93"
"50.74","955.92","314.78","313.68","33.98","58.75","41.98","23.00","715","58.12","93.30","93","53.83"
"50.28","955.92","317.19","322.46","34.00","57.98","41.91","23.00","712","58.02","93.20","93","53.93"
"50.74","955.92","318.79","322.46","33.99","58.44","41.85","23.00","720","58.12","93.20","93","53.93"
"50.35","955.92","320.86","318.06","34.05","57.53","41.74","23.00","713","58.12","93.10","93","53.93"
"50.43","955.92","324.30","324.71","34.08","57.14","42.08","23.00","716","58.12","93.20","93","53.93"
"48.07","957.93","332.58","337.99","34.09","60.65","42.15","23.00","759","58.12","93.20","93","53.93"
"72.25","947.95","299.99","263.09","33.98","70.19","41.95","23.00","739","58.22","93.20","93","53.93"
"84.76","928.91","493.66","496.27","38.24","106.66","39.47","23.00","1488","58.22","93.30","93","53.93"
"95.83","955.92","402.06","425.87","35.03","98.57","41.80","23.00","1162","58.41","93.30","93","53.93"
"69.73","977.98","338.82","302.7","34.64","83.24","38.04","23.00","1290","58.61","93.30","93","53.93"
