"Воздушная масса: Заданное значение[kg/h]","Давление заряда воздуха, фактическое[mbar]","Давление магистрали, уставка[бар]","Действительное давление в рейке[bar]","Клапан регулировки давления в рейке , активация[%]","Масса воздуха[кг/ч]","Подача активации управляющего клапана [%]","Регулятор нагнетаемого давления , активация[%]","Скорость вращения двигателя[об/мин]","Температура воздуха на впуске[degree C]","Температура двигателя[degree C]","Температура охлаждающей жидкости[degree C]","Температура топлива[degree C]"
"55.54","998.95","315.01","313.68","23.16","61.26","32.48","94.98","718","53.85","83.90","84","58.64"
"54.78","998.95","315.01","315.88","23.07","61.26","32.49","94.98","719","53.85","84","84","58.64"
"54.78","998.95","315.01","313.68","23.13","61.57","32.40","94.98","720","53.85","84","84","58.64"
"55.24","998.95","315.01","313.68","23.10","61.34","32.43","94.98","719","53.95","84","84","58.64"
"54.78","998.95","315.01","313.68","23.10","61.26","32.39","94.98","730","53.85","84","84","58.64"
"87.89","1002.97","455.18","450","25.98","106.58","32.33","93.06","1342","53.95","84","84","58.64"
"97.05","1098.92","384.09","384.09","23.54","104.98","32.37","87.86","1216","54.35","84.10","84","58.74"
"94.68","1116.96","373.01","373.1","23.17","104.75","32.37","87.96","1233","54.44","84.20","84","58.74"
"105.67","1124.92","409.77","410.48","24.00","119.78","32.32","88.63","1378","54.54","84.20","84","58.74"
"115.66","1152.94","404.77","405.96","23.30","132.07","32.40","88.08","1474","54.64","84.30","84","58.83"
"123.6","1161.91","382.57","386.29","22.22","141.37","32.30","88.52","1542","54.74","84.40","84","58.83"
"112.38","1180.96","331.16","326.92","21.43","108.49","32.28","94.49","1018","54.74","84.40","84","58.83"
"84.08","1111.92","353.26","353.35","23.08","95.75","32.33","94.72","1148","54.74","84.40","84","58.83"
"92.77","1107.99","354.27","355.46","22.74","101.40","32.37","94.28","1174","54.74","84.50","84","58.83"
"123.37","1133.99","585.60","573.29","29.68","150.84","32.35","94.98","1674","54.84","84.60","84","58.83"
"167.24","1304.92","616.77","608.4","29.55","189.75","32.46","94.98","1585","55.23","84.60","84","58.83"
"149.39","1346.94","517.05","456.69","38.47","172.66","38.70","94.98","1621","55.23","84.70","84","58.93"
"156.18","1368.92","530.19","520.4","37.67","176.39","38.88","94.98","1627","55.33","84.80","85","58.93"
"174.79","1400.96","691.69","711.89","40.55","202.87","37.92","94.98","1769","55.42","84.90","85","58.93"
"206.15","1528.95","663.87","735.97","39.15","241.63","39.55","81.00","1938","55.52","85","85","58.93"
"201.04","1537.92","528.86","524.8","37.75","192.95","38.78","94.98","1458","55.62","85.10","85","59.03"
"157.17","1451.95","671.09","700.91","39.75","173.49","38.91","94.98","1465","55.52","85.20","85","59.13"
"164.19","1466.97","692.05","685.38","39.97","183.03","38.85","94.98","1547","55.62","85.40","85","59.13"
"170.82","1511.92","720.86","722.79","40.63","200.27","38.20","94.98","1625","55.62","85.50","85","59.13"
"187.69","1569.97","773.38","771.27","41.87","221.26","38.05","94.98","1700","55.82","85.70","85","59.13"
"207.06","1635.98","823.99","821.65","42.69","244.45","37.53","94.98","1804","55.91","85.80","85","59.13"
"219.27","1665.92","840.48","856.94","42.96","263.98","37.63","94.32","1897","55.91","85.90","86","59.13"
"219.35","1648.98","554.18","505.06","37.14","247.96","38.80","74.89","1983","55.91","86.10","86","59.23"
"191.88","1522.91","492.28","483.09","36.16","187.46","38.51","94.98","1579","55.91","86.20","86","59.23"
"169.45","1505.97","724.58","762.37","41.12","187.23","38.87","94.98","1519","55.91","86.30","86","59.23"
"172.73","1535.91","739.16","744.76","41.11","195.09","38.69","94.98","1571","55.91","86.50","86","59.23"
"184.25","1569.97","770.90","773.38","41.71","210.65","38.29","94.98","1625","55.91","86.60","86","59.23"
"193.64","1618.95","797.38","806.38","42.54","227.36","38.12","94.98","1693","55.91","86.70","86","59.23"
"205.54","1654.93","730.65","753.58","40.21","238.27","38.86","94.98","1739","55.91","86.80","86","59.32"
"204.7","1605.95","612.87","588.56","38.50","238.73","38.60","94.98","1770","55.91","86.90","87","59.32"
"179.75","1618.95","574.59","588.56","37.76","182.65","39.12","94.98","1442","55.82","87","87","59.32"
"156.25","1496.91","580.10","573.29","38.05","172.43","39.23","94.98","1448","55.52","87.10","87","59.32"
"153.89","1460.93","587.36","595.21","38.29","170.37","39.24","94.98","1459","55.42","87.20","87","59.32"
"149.08","1434.93","541.86","535.79","37.51","166.09","39.24","94.98","1472","55.23","87.20","87","59.32"
"147.1","1413.96","532.39","522.69","37.31","165.18","39.27","94.98","1484","55.13","87.20","87","59.32"
"150.38","1408.92","536.29","540.17","37.33","166.63","39.07","94.98","1502","55.03","87.30","87","59.32"
"163.2","1453.97","697.79","718.38","40.63","183.34","38.66","94.98","1552","54.74","87.30","87","59.32"
"176.78","1526.94","742.55","749.21","41.49","201.72","39.22","94.98","1587","54.74","87.40","87","59.32"
"176.78","1532.98","633.96","610.57","39.76","202.26","36.67","94.98","1632","54.54","87.30","87","59.42"
"189.14","1590.93","787.55","804.18","42.45","222.17","38.32","94.98","1666","54.54","87.30","87","59.42"
"187.23","1579.95","567.46","529.18","37.84","214.85","39.01","94.98","1668","54.35","87.20","87","59.42"
"186.46","1535.91","569.20","571.08","38.16","209.73","39.25","94.98","1681","54.25","87.20","87","59.42"
"176.7","1502.95","495.59","489.69","36.72","195.24","39.42","94.98","1684","53.95","87.20","87","59.32"
"136.03","1404.99","438.78","436.85","35.37","150.38","39.71","92.82","1375","53.85","87.20","87","59.32"
"125.66","1314.99","403.07","410.48","34.61","138.48","40.24","92.22","1356","53.51","87.20","87","59.32"
"112.54","1227.92","309.37","265.29","32.60","125.73","40.71","93.81","1320","53.12","87.10","87","59.32"
"105.13","1139.94","308.18","309.28","32.79","115.74","41.16","94.78","1309","53.02","87.10","87","59.32"
"98.95","1098.92","317.56","302.7","33.12","112.08","39.48","94.45","1331","52.92","87.10","87","59.32"
"110.55","1161.91","370.49","373.1","34.21","122.45","40.37","92.85","1352","52.82","87.10","86","59.23"
"108.95","1161.91","338.68","331.29","33.48","122.07","39.69","92.59","1366","52.53","87","86","59.23"
"110.93","1171.98","367.18","362.07","34.07","122.83","39.99","91.42","1338","52.43","86.90","86","59.23"
"112.54","1178.94","407.30","401.7","35.00","124.44","40.61","90.56","1309","52.14","86.80","86","59.23"
"111.16","1182.97","438.46","405.96","36.35","127.26","38.95","94.98","1345","52.04","86.70","86","59.23"
"117.34","1231.95","469.58","483.09","36.29","130.16","39.88","94.98","1319","51.75","86.50","86","59.23"
"116.04","1233.96","391.08","390.67","34.50","128.94","39.97","92.82","1346","51.45","86.30","86","59.23"
"117.49","1222.98","426.70","434.65","35.37","130.46","40.32","92.81","1328","51.26","86.10","85","59.23"
"117.34","1222.98","407.89","412.68","35.01","129.63","39.96","91.74","1340","50.91","85.90","85","59.13"
"116.04","1216.94","390.07","390.67","34.53","128.79","40.11","92.83","1349","50.72","85.80","85","59.13"
"113.98","1212.91","388.37","379.68","34.60","127.64","39.98","92.83","1346","50.52","85.60","85","59.13"
"112.99","1203.94","375.37","373.1","34.34","127.03","40.08","92.52","1340","50.23","85.50","85","59.13"
"116.35","1212.91","424.86","443.51","35.37","128.25","40.12","94.09","1323","50.13","85.30","85","59.13"
"114.82","1208.97","375.19","366.5","34.14","127.34","40.15","92.60","1337","49.93","85.20","85","59.13"
"114.29","1195.97","370.81","373.1","34.06","125.12","40.11","92.44","1327","49.73","85.10","84","59.13"
"112.46","1188.92","368.47","368.7","34.17","124.06","40.10","92.18","1320","49.54","84.90","84","59.13"
"111.47","1182.97","365.58","362.07","34.11","123.37","40.29","92.33","1321","49.44","84.80","84","58.93"
"115.89","1193.96","429.59","441.3","35.52","125.96","39.80","94.98","1313","49.34","84.70","84","58.93"
"116.96","1229.94","451.46","472.06","35.68","128.18","40.14","94.98","1307","49.15","84.50","84","58.93"
"117.57","1237.99","434.88","439.1","35.44","129.78","39.84","94.98","1327","49.05","84.40","84","58.93"
"119.25","1246.97","476.19","463.27","36.54","133.29","39.25","94.98","1340","48.95","84.30","84","58.93"
"123.45","1280.93","479.67","489.69","36.29","136.19","39.90","94.98","1325","48.75","84.10","84","58.93"
"119.63","1265.92","397.92","405.96","34.57","132.68","40.13","92.62","1345","48.56","84","83","58.83"
"117.57","1229.94","384.41","381.88","34.36","129.47","40.16","92.56","1339","48.41","84","83","58.83"
