"Воздушная масса: Заданное значение[kg/h]","Давление заряда воздуха, фактическое[mbar]","Давление магистрали, уставка[бар]","Действительное давление в рейке[bar]","Клапан регулировки давления в рейке , активация[%]","Масса воздуха[кг/ч]","Подача активации управляющего клапана [%]","Регулятор нагнетаемого давления , активация[%]","Скорость вращения двигателя[об/мин]","Температура воздуха на впуске[degree C]","Температура двигателя[degree C]","Температура охлаждающей жидкости[degree C]","Температура топлива[degree C]"
"55.16","981.92","315.01","311.48","22.46","62.94","32.54","94.98","719","48.56","85.30","85","55.16"
"55.7","981.92","315.01","315.88","22.46","62.56","32.53","94.98","723","48.56","85.30","85","55.16"
"56.23","981.92","315.01","313.68","22.40","62.49","32.46","94.98","718","48.56","85.30","85","55.16"
"55.47","981.92","315.01","315.88","22.41","62.56","32.47","94.98","721","48.56","85.30","85","55.16"
"55.85","981.92","315.01","315.88","22.44","62.64","32.46","94.98","719","48.56","85.30","85","55.16"
"55.54","981.92","315.01","315.88","22.47","62.64","32.50","94.98","719","48.66","85.30","85","55.25"
"55.85","981.92","315.01","315.88","22.41","62.49","32.44","94.98","720","48.66","85.30","85","55.25"
"55.7","981.92","315.01","311.48","22.44","62.56","32.53","94.98","721","48.66","85.30","85","55.25"
"55.7","981.92","315.01","315.88","22.42","62.33","32.50","94.98","721","48.75","85.30","85","55.25"
"56.08","981.92","315.01","313.68","22.42","62.87","32.46","94.98","718","48.75","85.30","85","55.25"
"55.47","981.92","315.01","315.88","22.44","62.56","32.48","94.98","722","48.75","85.30","85","55.35"
"55.24","981.92","315.01","315.88","22.48","62.49","32.43","94.98","722","48.75","85.30","85","55.35"
"55.39","981.92","315.01","315.88","22.42","62.64","32.45","94.98","719","48.75","85.30","85","55.35"
"54.86","981.92","315.01","315.88","22.36","62.56","32.51","94.98","721","48.85","85.40","85","55.35"
"56.23","981.92","315.01","318.06","22.32","62.49","32.45","94.98","719","48.85","85.40","85","55.35"
"55.24","981.92","315.01","315.88","22.43","62.64","32.44","94.98","720","48.85","85.50","85","55.35"
"55.39","981.92","315.01","315.88","22.39","62.64","32.40","94.98","718","48.95","85.50","85","55.35"
"55.7","981.92","315.01","313.68","22.46","62.49","32.42","94.98","719","48.95","85.50","85","55.35"
"55.92","981.92","315.01","313.68","22.45","62.56","32.45","94.98","713","48.95","85.50","85","55.35"
"55.16","981.92","315.01","315.88","22.38","62.87","32.43","94.98","723","48.95","85.50","85","55.45"
"54.47","981.92","315.01","313.68","22.56","61.65","32.49","94.98","700","49.05","85.50","85","55.45"
"53.94","985.95","315.01","315.88","22.49","61.34","32.48","94.98","721","49.05","85.50","85","55.45"
"53.79","985.95","315.01","315.88","22.60","60.96","32.48","94.98","716","49.15","85.50","85","55.45"
"53.56","989.97","315.01","313.68","22.56","61.26","32.49","94.98","721","49.15","85.60","85","55.45"
"53.94","989.97","315.01","315.88","22.56","61.49","32.50","94.98","723","49.15","85.60","85","55.55"
"53.79","989.97","315.01","315.88","22.52","61.26","32.45","94.98","722","49.15","85.60","85","55.55"
"54.09","989.97","315.01","318.06","22.52","60.88","32.48","94.98","716","49.24","85.60","85","55.55"
"54.93","989.97","315.01","313.68","22.49","61.65","32.40","94.98","720","49.24","85.60","85","55.55"
"53.94","989.97","315.01","313.68","22.59","60.88","32.45","94.98","719","49.34","85.60","85","55.55"
"53.86","989.97","315.01","313.68","22.59","61.04","32.48","94.98","716","49.34","85.60","85","55.55"
"54.17","989.97","315.01","315.88","22.56","61.19","32.37","94.98","717","49.34","85.60","85","55.55"
"54.63","989.97","315.01","315.88","22.60","61.19","32.33","94.98","718","49.34","85.60","85","55.74"
"54.25","989.97","315.01","311.48","22.67","59.74","32.43","94.98","710","49.44","85.70","85","55.74"
"52.87","994.92","315.01","315.88","22.65","60.35","32.41","94.98","728","49.44","85.80","85","55.74"
"54.4","994.92","315.01","313.68","22.56","60.58","32.40","94.98","718","49.44","85.80","85","55.74"
"53.86","994.92","315.01","315.88","22.66","60.96","32.44","94.98","723","49.54","85.80","85","55.74"
"54.86","994.92","315.01","318.06","22.53","61.49","32.35","94.98","728","49.54","85.80","85","55.84"
"76.52","996.93","315.29","329.09","21.58","81.56","32.43","94.98","778","49.64","85.90","85","55.84"
"55.77","1007.92","315.01","313.68","22.99","61.88","33.05","94.98","733","49.73","85.90","85","55.84"
"54.93","998.95","315.01","313.68","23.17","61.19","33.03","94.98","726","49.73","85.90","85","55.84"
"54.55","994.92","315.01","315.88","23.08","61.57","33.12","94.98","715","49.73","85.90","85","55.84"
"55.47","989.97","315.01","311.48","22.98","63.10","32.92","94.98","725","49.73","85.90","86","55.84"
"52.95","987.96","315.01","315.88","23.17","59.05","33.02","94.98","703","49.73","86","86","55.84"
"71.03","996.93","337.90","340.17","22.77","76.98","33.09","94.98","963","49.83","86.10","86","55.84"
"88.2","1039.96","335.01","313.68","22.04","88.43","32.98","94.98","982","50.03","86.20","86","55.84"
"115.13","1066.97","357.39","401.7","19.11","116.96","32.97","93.66","1130","50.13","86.20","86","55.84"
"88.2","1077.96","383.81","373.1","24.00","102.54","32.84","94.71","1268","50.32","86.30","86","55.84"
"106.36","1092.97","480.88","447.88","27.68","127.79","32.83","94.98","1617","50.52","86.30","86","55.94"
"152.28","1197.98","557.80","555.69","27.73","176.55","32.85","94.98","1955","50.72","86.30","86","55.94"
"205.46","1331.93","758.49","747","33.03","247.35","31.74","94.98","2304","51.06","86.30","86","56.04"
"183.18","1485.92","790.16","786.58","35.79","204.78","32.99","94.98","1618","51.45","86.40","86","56.14"
"189.44","1500.94","784.27","790.99","36.12","228.58","32.91","94.98","1869","51.65","86.50","86","56.14"
"215","1511.92","797.75","799.77","34.32","264.36","32.63","94.98","2129","51.75","86.50","86","56.23"
"209.96","1357.93","349.89","364.38","22.69","230.26","32.91","93.17","1904","51.84","86.60","86","56.33"
"126.19","1282.95","312.17","309.28","21.23","126.19","32.83","94.98","1152","52.04","86.70","86","56.23"
"86.06","1124.92","347.37","329.09","24.16","109.94","32.80","94.71","1316","52.04","86.90","87","56.23"
"110.25","1218.95","587.78","564.48","30.29","140.23","32.82","94.98","1517","52.24","87","87","56.23"
"192.8","1306.93","719.48","702.97","32.43","229.27","32.70","94.98","2079","52.43","87.20","87","56.23"
"221.94","1440.97","783.67","782.16","33.87","271.69","31.96","94.98","2251","52.73","87.30","87","56.23"
"244.3","1487.94","851.10","773.38","45.94","307.85","37.81","94.98","2469","53.02","87.40","87","56.33"
"279.7","1532.98","572.18","588.56","38.21","286.18","40.49","88.18","1769","53.31","87.50","87","56.43"
"197.45","1539.94","773.76","757.99","42.90","231.25","38.29","94.98","1826","53.66","87.60","87","56.43"
"206.84","1551.93","779.09","777.76","42.78","243.46","38.31","94.98","1933","53.85","87.60","87","56.53"
"218.66","1558.98","786.95","784.41","42.97","262.68","38.24","94.98","2040","54.05","87.70","87","56.63"
"231.25","1569.97","742.55","810.76","37.15","263.07","50.65","65.17","2054","54.35","87.80","87","56.63"
"193.79","1286.97","346.50","326.92","33.87","210.88","41.54","94.60","1872","54.05","87.90","88","56.63"
"135.96","1188.92","326.59","320.4","33.49","145.04","41.01","94.65","1415","54.05","88.10","88","56.53"
"99.64","1116.96","307.58","296.09","33.26","111.24","41.73","94.97","1264","54.05","88.20","88","56.53"
"90.03","1077.96","309.09","320.4","33.37","98.50","41.73","94.98","1120","54.05","88.30","88","56.43"
"82.93","1049.94","313.59","302.7","33.60","89.34","41.44","94.98","1001","54.05","88.40","88","56.43"
"72.94","1028.98","315.01","326.92","33.59","80.80","42.10","94.98","976","53.95","88.50","88","56.33"
"82.93","1007.92","308.86","307.08","33.44","93.16","42.19","94.98","1133","53.95","88.50","88","56.33"
"91.78","1024.95","407.39","405.96","36.05","103.68","39.77","94.98","1229","54.05","88.50","88","56.33"
"104.07","1137.92","351.89","463.27","33.90","107.73","47.26","91.43","1204","54.25","88.40","88","56.43"
"90.49","1088.94","307.99","267.59","33.46","100.10","40.86","94.92","1167","54.05","88.30","88","56.43"
"87.36","1049.94","341.77","329.09","34.66","98.73","40.02","94.22","1263","54.05","88.30","88","56.43"
"104.98","1094.99","546.59","557.9","39.37","114.44","39.07","94.98","1254","54.05","88.20","88","56.43"
"116.58","1208.97","609.56","617.18","40.08","135.04","38.98","94.98","1378","54.25","88.10","88","56.53"
"131.07","1277","624.58","623.76","40.33","152.13","39.62","94.98","1445","54.25","88","87","56.63"
"130.08","1284.96","472.97","456.69","36.62","149.77","40.37","94.07","1486","54.25","87.90","87","56.63"
"130.77","1248.98","404.68","403.9","35.45","145.57","40.67","93.21","1498","54.05","87.90","87","56.63"
"127.57","1212.91","398.76","403.9","35.52","141.68","40.62","94.09","1502","54.05","87.90","87","56.82"
"125.43","1190.93","389.80","386.29","35.33","140.76","40.45","94.43","1516","53.95","87.90","87","56.82"
"127.87","1180.96","517.97","476.37","39.22","145.19","37.84","94.98","1603","54.05","87.90","87","56.82"
