"Воздушная масса: Заданное значение[kg/h]","Давление заряда воздуха, фактическое[mbar]","Давление магистрали, уставка[бар]","Действительное давление в рейке[bar]","Клапан регулировки давления в рейке , активация[%]","Масса воздуха[кг/ч]","Подача активации управляющего клапана [%]","Регулятор нагнетаемого давления , активация[%]","Скорость вращения двигателя[об/мин]","Температура воздуха на впуске[degree C]","Температура двигателя[degree C]","Температура охлаждающей жидкости[degree C]","Температура топлива[degree C]"
"54.55","985.95","315.01","318.06","23.82","61.65","33.52","94.98","721","59.15","","",""
"54.55","985.95","315.01","318.06","23.82","61.65","33.52","94.98","721","59.15","96.40","",""
"54.55","985.95","315.01","318.06","23.82","61.65","33.52","94.98","721","59.15","96.40","96",""
"54.55","985.95","315.01","318.06","23.82","61.65","33.52","94.98","721","59.15","96.40","96","60.45"
"54.63","985.95","315.01","313.68","23.87","61.65","33.48","94.98","719","59.25","96.40","96","60.45"
"53.94","985.95","315.01","315.88","23.92","61.49","33.41","94.98","719","59.35","96.50","96","60.45"
"54.47","987.96","315.01","313.68","23.87","61.49","33.46","94.98","720","59.35","96.50","96","60.55"
"54.86","985.95","315.01","315.88","23.91","61.57","33.43","94.98","721","59.45","96.50","96","60.65"
"54.78","987.96","315.01","315.88","23.80","61.49","33.48","94.98","721","59.64","96.50","96","60.65"
"54.86","987.96","315.01","313.68","23.88","61.80","33.47","94.98","719","59.64","96.50","96","60.65"
"54.78","985.95","315.01","313.68","23.86","61.80","33.40","94.98","719","59.64","96.50","96","60.65"
"54.86","985.95","315.01","315.88","23.83","62.18","33.42","94.98","722","59.74","96.50","96","60.75"
"54.63","987.96","315.01","315.88","23.89","61.57","33.42","94.98","718","59.84","96.50","96","60.75"
"50.97","983.93","360.51","333.5","24.93","80.57","33.37","88.94","1444","59.84","96.60","96","60.75"
"182.73","1032.91","772.00","764.66","33.41","264.44","27.87","90.73","3431","60.33","96.60","96","60.75"
"355.23","1148.91","467.40","808.58","4.01","407.49","12.75","42.38","4184","61.46","96.70","96","60.84"
"298.77","1195.97","392.27","401.7","4.93","337.22","31.28","51.87","2918","62.53","96.70","96","60.84"
"208.13","1263.99","349.30","318.06","20.25","211.87","34.85","94.98","1806","63.12","96.70","96","60.84"
"104.83","1212.91","311.07","300.59","22.38","103.38","34.22","94.98","870","63.42","96.70","96","60.75"
"62.56","1103.96","315.01","313.68","23.83","69.20","33.89","94.98","720","63.42","96.70","96","60.75"
"57.98","1045.91","315.01","315.88","23.89","64.77","33.75","94.98","718","63.12","96.80","96","60.75"
"56.15","1017.99","315.01","313.68","23.95","63.10","33.74","94.98","717","63.12","96.80","96","60.84"
"55.08","1007.92","315.01","315.88","23.93","62.33","33.60","94.98","720","63.03","97","97","60.84"
"55.39","998.95","315.01","315.88","23.94","62.18","33.61","94.98","720","63.03","97.10","97","61.04"
"54.78","994.92","315.01","313.68","24.03","61.88","33.58","94.98","720","62.83","97.20","97","61.04"
"54.55","992.99","315.01","313.68","24.09","61.80","33.59","94.98","721","63.03","97.20","97","61.04"
"55.08","989.97","315.01","315.88","24.00","61.57","33.53","94.98","719","63.03","97.40","97","61.04"
"53.64","989.97","315.01","313.68","24.09","61.65","33.55","94.98","720","63.03","97.40","97","61.04"
"54.55","989.97","315.01","311.48","24.02","61.49","33.53","94.98","717","63.03","97.50","97","61.04"
"55.08","989.97","315.01","313.68","24.00","61.57","33.60","94.98","721","63.12","97.60","97","61.04"
"54.25","989.97","315.01","318.06","24.00","61.34","33.57","94.98","720","63.12","97.70","97","61.04"
"54.47","989.97","315.01","313.68","24.05","61.49","33.57","94.98","720","63.12","97.70","97","61.04"
"54.4","985.95","315.01","313.68","24.06","61.26","33.60","94.98","714","63.12","97.70","97","61.14"
"54.63","985.95","315.01","315.88","23.76","61.57","33.32","94.98","722","63.22","97.70","97","61.04"
"54.25","985.95","315.01","315.88","23.82","61.34","33.46","94.98","718","63.22","97.70","97","61.14"
"53.64","989.97","315.01","313.68","24.03","58.29","33.44","94.98","684","63.42","97.70","97","61.14"
"52.8","989.97","315.01","315.88","23.91","59.74","33.40","94.98","720","63.42","97.70","97","61.14"
"52.26","994.92","315.01","315.88","23.85","59.66","33.25","94.98","721","63.42","97.70","97","61.24"
"52.95","994.92","315.01","313.68","23.85","59.89","33.32","94.98","724","63.52","97.70","97","61.24"
"52.95","994.92","315.01","313.68","23.92","59.66","33.32","94.98","712","63.52","97.70","97","61.24"
"52.19","994.92","315.01","313.68","24.05","59.89","33.29","94.98","716","63.61","97.80","97","61.24"
"53.25","994.92","315.01","311.48","23.92","60.04","33.28","94.98","718","63.61","97.80","97","61.24"
"52.34","994.92","315.01","315.88","23.89","59.74","33.42","94.98","721","63.61","97.90","97","61.24"
"53.79","994.92","315.01","313.68","23.84","60.43","33.34","94.98","723","63.61","97.90","97","61.24"
"53.33","994.92","315.01","313.68","23.82","60.43","33.34","94.98","723","63.61","97.90","98","61.24"
"54.63","994.92","315.01","315.88","23.85","61.34","33.24","94.98","725","63.61","98","98","61.33"
"53.56","989.97","315.01","311.48","23.94","60.04","33.33","94.98","712","63.86","98","98","61.33"
"53.25","994.92","315.01","315.88","23.93","59.43","33.21","94.98","722","63.96","98.10","98","61.33"
"53.94","994.92","315.01","315.88","23.92","61.19","33.29","94.98","723","63.86","98.10","98","61.33"
"53.56","994.92","315.01","315.88","23.88","61.19","33.30","94.98","714","63.86","98.10","98","61.53"
"50.28","989.97","369.98","342.28","25.14","69.20","33.17","94.98","1012","63.86","98.10","98","61.33"
"85.07","1020.92","524.58","494.07","29.59","111.24","33.48","94.98","1523","64.25","98.10","98","61.33"
"145.88","1180.96","636.49","643.6","31.09","172.73","33.46","94.98","1792","64.64","98.10","98","61.53"
"188.83","1359.94","721.00","716.27","33.20","233.84","33.01","94.98","2137","65.23","98.10","98","61.53"
"244.37","1481.98","851.10","841.58","35.56","306.17","31.83","91.89","2355","65.72","98","97","61.63"
"169.07","1582.97","516.68","518.29","28.43","196.99","33.27","94.98","1696","66.11","97.90","97","61.73"
"190.43","1535.91","740.86","762.37","33.71","226.75","33.34","94.98","1901","66.46","97.90","97","61.73"
"219.88","1582.97","790.99","790.99","34.62","271.38","32.89","94.98","2152","66.65","97.90","97","61.73"
"249.18","1618.95","863.27","815.16","46.46","317.39","38.24","94.98","2405","67.05","98","98","61.92"
"266.04","1622.98","666.67","608.4","41.39","352.33","39.75","87.51","2536","67.15","98.10","98","62.02"
"215.15","1667.93","868.75","901","45.33","254.98","38.67","94.98","1835","67.44","98.20","98","62.02"
"216.45","1680.93","853.16","848.16","45.18","255.89","38.68","94.98","1920","67.54","98.40","98","62.02"
"201.88","1535.91","340.26","362.07","34.15","225.38","42.13","93.01","1880","67.54","98.40","98","62.12"
"146.26","1272.97","328.11","313.68","34.11","152.13","41.61","94.43","1357","67.15","98.60","98","62.02"
"98.95","1154.95","307.26","304.96","33.84","112.15","42.13","94.93","1282","67.05","98.70","98","62.02"
"90.79","1096.91","306.89","300.59","34.52","100.63","41.53","94.98","1185","66.85","98.80","99","61.92"
"86.29","1066.97","345.31","340.17","35.03","95.37","41.92","94.98","1124","66.65","99","99","61.83"
"81.94","1049.94","349.21","348.98","35.12","89.04","41.85","94.98","1043","66.46","99","99","61.73"
"75.53","1032.91","349.80","346.68","35.21","83.77","41.80","94.98","960","66.11","99.10","99","61.73"
"80.49","1009.93","349.99","351.09","35.16","93.84","41.84","94.98","1204","65.92","99","98","61.73"
"85.15","1026.96","314.78","313.68","34.45","94.00","40.48","94.65","1222","65.72","98.90","98","61.73"
"101.93","1118.97","576.15","623.76","40.23","115.13","40.17","94.98","1305","65.72","98.90","98","61.73"
"108.64","1203.94","384.18","384.09","35.65","124.97","41.02","92.23","1349","65.62","98.80","98","61.92"
"101.4","1165.94","323.29","302.7","34.10","114.37","41.41","92.99","1266","65.43","98.70","98","62.02"
"92.77","1109.91","306.07","300.59","34.02","102.85","41.77","94.69","1192","65.23","98.50","98","62.02"
"88.27","1071.91","307.76","307.08","34.06","97.66","41.96","94.98","1179","65.04","98.30","98","62.02"
"84.69","1049.94","309.87","309.28","34.32","93.23","41.85","94.98","1114","64.74","98.20","98","62.02"
"80.34","1037.95","312.17","322.46","34.27","89.04","42.03","94.98","1054","64.64","98.10","98","62.02"
"78.13","1026.96","314.28","311.48","34.37","85.45","41.81","94.98","1002","64.35","98","97","62.02"
"75.15","1020.92","315.01","315.88","34.44","82.17","41.88","94.98","945","64.25","97.90","97","62.02"
"64.16","1015.97","315.01","331.29","34.50","70.65","42.19","94.98","802","63.96","97.80","97","62.02"
"55.92","1007.92","315.01","322.46","34.50","64.70","42.25","94.98","776","63.61","97.80","97","62.02"
"54.25","998.95","315.01","315.88","34.55","62.79","42.45","94.98","725","63.42","97.70","97","62.12"
"53.94","994.92","315.01","311.48","34.55","59.05","42.14","94.98","687","63.12","97.70","97","62.12"
"53.18","994.92","315.01","315.88","34.41","61.19","42.34","94.98","722","62.83","97.60","97","62.12"
"53.56","998.95","315.01","318.06","34.41","61.04","42.19","94.98","718","62.73","97.60","97","62.12"
"53.25","998.95","315.01","315.88","34.46","60.96","42.29","94.98","720","62.53","97.50","97","62.22"
"53.48","996.93","315.01","313.68","34.61","61.04","42.23","94.98","719","62.44","97.50","97","62.22"
"53.03","996.93","315.01","315.88","34.67","61.04","42.18","94.98","719","62.34","97.50","97","62.22"
"53.33","996.93","315.01","318.06","34.54","60.73","42.47","94.98","719","62.14","97.40","97","62.22"
"53.64","996.93","315.01","313.68","34.60","60.96","42.25","94.98","718","62.14","97.40","97","62.41"
"53.25","998.95","315.01","313.68","34.60","60.88","42.26","94.98","719","62.04","97.30","97","62.41"
"53.33","998.95","315.01","313.68","34.65","60.96","42.66","94.98","720","62.04","97.30","97","62.41"
"54.25","996.93","315.01","315.88","34.61","60.96","42.56","94.98","719","62.04","97.20","97","62.41"
